Meeting Type;Vote Date;Vote Number;Agenda Description;Vote Start Date Time;Vote Decision
Council;2025-10-21;11054;C3. Appointments of Council Liaisons to Advisory Committees, Task Force and Policy Council;2025-10-21T20:41:06-07:00;Carried Unanimously
Council;2025-10-21;11055;R2. Delegated Authorities for Civic Collections;2025-10-21T20:41:28-07:00;Carried Unanimously
Council;2025-10-21;11056;"R3. Grant to Four Sisters Housing Co-operative for Capital Repairs to the Co-op
Building Located at 118 Alexander Street and 133/153 Powell Street";2025-10-21T20:41:39-07:00;Carried Unanimously
Council;2025-10-21;11057;NB 1. Requests for Leaves of Absence;2025-10-21T20:41:53-07:00;Carried Unanimously
Public Hearing;2025-10-23;11061;1. Alleviating Sewer Infrastructure Issues Through On-Site Rainwater Management;2025-10-23T18:11:57-07:00;Carried Unanimously
Public Hearing;2025-10-23;11062;2. Rezoning: 5770-5790 Granville Street;2025-10-23T18:20:23-07:00;Carried Unanimously
Public Hearing;2025-10-23;11063;3. CD-1 Rezoning - 1366 West 12th Avenue;2025-10-23T18:46:10-07:00;Carried Unanimously
Public Hearing;2025-10-23;11064;4. CD-1 Rezoning: 516-536 West Pender Street and 501-515 Richards Street;2025-10-23T19:11:45-07:00;Carried Unanimously
Policy & Strategic Priorities;2025-10-29;11065;1. Quarterly Capital Budget Adjustments and Closeouts Q3;2025-10-29T09:42:53-07:00;Carried Unanimously
Policy & Strategic Priorities;2025-10-29;11066;6. Report Back - Maintaining Fairness & Effectiveness of the Empty Homes Tax (EHT);2025-10-29T09:48:21-07:00;Carried Unanimously
Policy & Strategic Priorities;2025-10-29;11067;Motion 1. Safe Streets for Trick or Treats: Creating Safe Pedestrian Areas to Make Halloween a Little Less Scary;2025-10-29T10:30:21-07:00;Carried
Policy & Strategic Priorities;2025-10-29;11068;Motion 2. Support for BC Parks Foundation's Learning by Nature Initiative;2025-10-29T10:40:17-07:00;Carried Unanimously
Policy & Strategic Priorities;2025-10-29;11069;Motion 3. Youth Voices: Amend the Charter for Age Sixteen Starter;2025-10-29T11:36:40-07:00;Lost
Policy & Strategic Priorities;2025-10-29;11070;Motion 4. No More Developer Handouts: Requiring the Full Replacement of Waived SRA Conversion Fees;2025-10-29T11:53:16-07:00;Lost
Policy & Strategic Priorities;2025-10-29;11072;2. Contract Award for Prequalified Contractors for Sewer Pump Station Projects - 2025;2025-10-29T11:58:31-07:00;Carried Unanimously
Policy & Strategic Priorities;2025-10-29;11073;3. Reducing Average Sewer Upgrade Costs for Developers;2025-10-29T11:59:12-07:00;Carried Unanimously
Policy & Strategic Priorities;2025-10-29;11074;4. Olympic Village Restaurant (Tap & Barrel) Lease Extension;2025-10-29T11:59:20-07:00;Carried Unanimously
Policy & Strategic Priorities;2025-10-29;11075;5. Proposed Changes to the Terms of Reference of the Accessibility Committee;2025-10-29T11:59:56-07:00;Carried Unanimously
Policy & Strategic Priorities;2025-10-29;11078;7. Contract Award for Construction Services for Cambie Bridge Seismic Upgrade - Phase 2;2025-10-29T12:41:39-07:00;Carried Unanimously
Public Hearing;2025-10-30;11080;1. Modification to a Condition of Enactment for 3077 Maddams Street (formerly 1405 East 15th Avenue & 3047-3071 Maddams Street);2025-10-30T19:03:30-07:00;Carried
Public Hearing;2025-10-30;11081;2. CD-1 Rezoning: 1111 Broughton Street;2025-10-30T20:57:47-07:00;Carried
Public Hearing;2025-10-30;11082;3. CD-1 Rezoning - 270 East 13th Avenue;2025-10-30T21:42:48-07:00;Carried Unanimously
Council;2025-11-04;11083;Report 1. Operator Appointment for Little Mountain Neighbourhood House and Childcare;2025-11-04T10:31:28-08:00;Carried Unanimously
Council;2025-11-04;11084;Comm 1. Changes to 2025 Council Meetings Schedule;2025-11-04T12:04:01-08:00;Carried Unanimously
Council;2025-11-04;11085;Report 5. Business Licence Hearing Panel Assignments - January to September 2026;2025-11-04T12:04:36-08:00;Carried Unanimously
Council;2025-11-04;11086;RR1. CD-1 Rezoning: 426-428 West 14th Avenue and 3015-3027 Yukon Street;2025-11-04T12:05:17-08:00;Carried Unanimously
Council;2025-11-04;11087;RR3. Zoning and Development By-law Amendment to Extend the Term of Development Permits for Temporary Modular Housing;2025-11-04T12:05:47-08:00;Carried Unanimously
Council;2025-11-04;11088;RR5. Rezoning: 1249-1263 West 41st Avenue;2025-11-04T12:06:15-08:00;Carried Unanimously
Council;2025-11-04;11089;RR6. Rezoning: 215-229 East 13th Avenue;2025-11-04T12:06:59-08:00;Carried Unanimously
Council;2025-11-04;11090;RR7. Rezoning: 4615 Arbutus Street;2025-11-04T12:07:37-08:00;Carried Unanimously
Council;2025-11-04;11091;RR8. CD-1 Rezoning: 1150 Barclay Street;2025-11-04T12:08:40-08:00;Carried Unanimously
Council;2025-11-04;11092;RR9. CD-1 Rezoning: 2260-2266 West 2nd Avenue;2025-11-04T12:09:09-08:00;Carried Unanimously
Council;2025-11-04;11093;RR10. CD-1 Rezoning: 2233 West 3rd Avenue;2025-11-04T12:09:36-08:00;Carried Unanimously
Council;2025-11-04;11094;RR11. CD-1 Rezoning: 1125 West 10th Avenue;2025-11-04T12:10:10-08:00;Carried Unanimously
Council;2025-11-04;11095;RR12. CD-1 (887) Text Amendment: 625-777 Pacific Street and 1390 Granville Street (Granville Loops) (Text Amendment Impacts 675 Pacific Street and 1395 Rolston Street Only);2025-11-04T12:10:38-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11099;R2. 2025 Budget Adjustments - Vancouver Police and Vancouver Fire and Rescue Services;2025-11-05T12:00:56-08:00;Carried
City Finance & Services;2025-11-05;11100;R2. 2025 Budget Adjustments - Vancouver Police and Vancouver Fire and Rescue Services;2025-11-05T12:01:46-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11101;R2. 2025 Budget Adjustments - Vancouver Police and Vancouver Fire and Rescue Services;2025-11-05T12:02:11-08:00;Carried
City Finance & Services;2025-11-05;11102;R2. 2025 Budget Adjustments - Vancouver Police and Vancouver Fire and Rescue Services;2025-11-05T12:02:43-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11103;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T13:24:22-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11104;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T13:24:57-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11105;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T13:38:02-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11106;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T13:48:29-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11107;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T13:53:21-08:00;Carried
City Finance & Services;2025-11-05;11108;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T14:03:25-08:00;Carried
City Finance & Services;2025-11-05;11109;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T14:03:47-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11110;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T14:12:15-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11111;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T14:44:57-08:00;Lost
City Finance & Services;2025-11-05;11112;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T14:46:10-08:00;Lost
City Finance & Services;2025-11-05;11113;R3. DTES Directions and Initiatives: Actions Update;2025-11-05T14:47:14-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11114;R6. Approval of Capital Grant to BC Housing for 3077 Maddams Street (formerly 1405 East 15th Avenue and 3047-3071 Maddams Street);2025-11-05T15:51:31-08:00;Lost
City Finance & Services;2025-11-05;11115;Motion 1. Giving Effect to Cooling Rights in a Climate Emergency Through the Standards of Maintenance By-law;2025-11-05T16:11:30-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11116;Motion 2. Ensuring Continuity of the Women's Equity Strategy Following the Closure of the Equity Office;2025-11-05T16:32:57-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11118;Motion 3. Advancing a Gender-Based Violence Prevention Strategy;2025-11-05T17:07:48-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11119;UB1. Referral Report: Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown;2025-11-05T17:48:10-08:00;Lost
City Finance & Services;2025-11-05;11120;UB1. Referral Report: Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown;2025-11-05T17:49:16-08:00;Lost
City Finance & Services;2025-11-05;11121;UB1. Referral Report: Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown;2025-11-05T17:50:24-08:00;Carried
City Finance & Services;2025-11-05;11122;UB2. Referral Report: Vancouver's Social Housing Initiative;2025-11-05T17:51:42-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11123;R1. Contract Award for Construction Services - Arbutus Greenway and West 41st Avenue Intersection Improvements;2025-11-05T18:01:23-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11124;R4. Vancouver Community Sport Event Grants - Fall 2025 Intake;2025-11-05T18:02:11-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11125;R5. Auditor General Committee Recommendations Transmittal Report;2025-11-05T18:02:40-08:00;Carried Unanimously
City Finance & Services;2025-11-05;11126;Motion 3. Advancing a Gender-Based Violence Prevention Strategy;2025-11-05T18:02:57-08:00;Carried Unanimously
Special Council;2025-11-06;11127;2. Declaration of Manifest Error - Tax Sale of 1208 - 1575 West 10th Avenue;2025-11-06T17:24:22-08:00;Carried Unanimously
Special Council;2025-11-12;11132;1. 2026 Capital and Operating Budget;2025-11-12T11:57:27-08:00;Lost
Special Council;2025-11-12;11133;1. 2026 Capital and Operating Budget;2025-11-12T13:33:49-08:00;Lost
Public Hearing;2025-11-13;11134;1. CD-1 Rezoning: 6486 Chester Street;2025-11-13T19:25:52-08:00;Carried Unanimously
Public Hearing;2025-11-13;11135;2. CD-1 Rezoning: 2090 West 1st Avenue;2025-11-13T20:01:08-08:00;Carried Unanimously
Public Hearing;2025-11-13;11136;3. Rezoning: 1401-1455 East 49th Avenue;2025-11-13T21:15:09-08:00;Carried
Special Council;2025-11-18;11139;1. Business Licence No. 24-159393 (605-1050 Burrard Street);2025-11-18T12:41:59-08:00;Carried Unanimously
Special Council;2025-11-18;11140;1. Business Licence No. 24-159393 (605-1050 Burrard Street);2025-11-18T12:42:58-08:00;Carried Unanimously
Special Council;2025-11-18;11141;1. Business Licence No. 24-159393 (605-1050 Burrard Street);2025-11-18T12:43:12-08:00;Carried Unanimously
Council;2025-11-25;11145;2026 Annual Review of Water Rates and Water Works By-law Amendments;2025-11-25T10:08:59-08:00;Carried Unanimously
Council;2025-11-25;11146;2026 Annual Review of Sewer Rates â€“ Sewer and Watercourse By-law;2025-11-25T10:10:49-08:00;Carried Unanimously
Council;2025-11-25;11147;2026 Solid Waste Utility Fees and By-law Changes;2025-11-25T10:11:34-08:00;Carried Unanimously
Council;2025-11-25;11148;2026 False Creek Neighbourhood Energy Utility Customer Rates;2025-11-25T10:14:17-08:00;Carried Unanimously
Council;2025-11-25;11149;2026 Engineering Fees - Amendment to E;2025-11-25T10:27:09-08:00;Carried Unanimously
Council;2025-11-25;11150;2026 Engineering Fees - Amendment to K;2025-11-25T10:43:44-08:00;Lost
Council;2025-11-25;11151;2026 Engineering Fees - Amendment to B;2025-11-25T10:48:16-08:00;Lost
Council;2025-11-25;11152;2026 Engineering Fees - Final Motion B;2025-11-25T10:49:58-08:00;Carried
Council;2025-11-25;11153;2026 Engineering Fees - Final Motion C;2025-11-25T10:50:41-08:00;Carried
Council;2025-11-25;11154;2026 Engineering Fees - Final Motion - A, and D through K;2025-11-25T10:51:14-08:00;Carried
Council;2025-11-25;11155;2026 Fee Increases for Rezoning, Development, Building, and Other Related Applications and Permits;2025-11-25T10:54:13-08:00;Carried
Council;2025-11-25;11156;Proposed 2026 Operating and Capital Budget - Amendment add J;2025-11-25T11:16:37-08:00;Carried Unanimously
Council;2025-11-25;11157;Proposed 2026 Operating and Capital Budget - Amendment to the Amendment to K;2025-11-25T11:38:23-08:00;Lost
Council;2025-11-25;11158;Proposed 2026 Operating and Capital Budget - 2nd Amendment to the Amendment to K;2025-11-25T11:55:33-08:00;Lost
Council;2025-11-25;11159;Proposed 2026 Operating and Capital Budget - final K as amended;2025-11-25T11:59:09-08:00;Carried
Council;2025-11-25;11160;Proposed 2026 Operating and Capital Budget - Referral Motion;2025-11-25T13:08:41-08:00;Lost
Council;2025-11-25;11161;Proposed 2026 Operating and Capital Budget - Amendment to Add to the End of B;2025-11-25T13:20:05-08:00;Carried Unanimously
Council;2025-11-25;11162;Proposed 2026 Operating and Capital Budget - 2nd Referral Motion;2025-11-25T13:21:45-08:00;Lost
Council;2025-11-25;11163;Proposed 2026 Operating and Capital Budget - 3rd referral motion;2025-11-25T13:39:55-08:00;Lost
Council;2025-11-25;11164;Proposed 2026 Operating and Capital Budget - Final motion as amended;2025-11-25T14:09:45-08:00;Carried
Council;2025-11-25;11166;Lease Renewal of a Portion of Dunlevy Avenue, Adjacent to 350 East Pender Street, Between East Pender Street and Keefer Street, with Mau Dan Gardens Co-operative Housing Association;2025-11-25T14:40:39-08:00;Carried Unanimously
Council;2025-11-25;11167;Rupert and Renfrew Station Area Plan Implementation - City-Initiated Amendments to the Zoning and Development By-law and Building By-law;2025-11-25T14:40:59-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11168;Report 1. FIFA World Cup 2026 By-law;2025-11-26T10:08:58-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11170;Report 2. Patio Program Updates  - Amendment for the Third Clause of A;2025-11-26T10:52:07-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11171;Report 2. Patio Program Updates  - Amendment for the rest of A and D;2025-11-26T10:52:47-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11172;Report 2. Patio Program Updates - Final motion as amended;2025-11-26T10:53:36-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11173;Report 4. Contract Award for Tree Removal and Associated Services in Stanley Park;2025-11-26T10:59:11-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11174;Report 5. 2025 Community Services and Other Grants;2025-11-26T11:13:15-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11175;Report 6. Business Improvement Areas (BIA) Renewals 2026;2025-11-26T11:17:42-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11176;Report 8. New St. Paul's Hospital and Health Campus - Road Establishments;2025-11-26T11:25:23-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11177;Report 8. New St. Paul's Hospital and Health Campus - Road Establishments;2025-11-26T11:26:01-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11178;Motion 1. National Child and Youth Mental Health Day Actions;2025-11-26T11:38:59-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11179;Report 3. Contract Award for Supply of Employee and Family Assistance Plan Services;2025-11-26T11:49:11-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11180;Report 7. Vancouver Technical Secondary School Synthetic Turf Joint Use Agreement;2025-11-26T11:49:45-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11182;Motion 2. Promoting Cultural Inclusion and Economic Vitality: Advancing the Main Street Filipino Cultural Centre and Hotel Project;2025-11-26T21:18:07-08:00;Carried
Policy & Strategic Priorities;2025-11-26;11183;Motion 3. Buoying Up a Vibrant Vancouver;2025-11-26T21:44:38-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-11-26;11184;Motion 4. Right of First Refusal: Building Pathways to Affordable Non-Market Housing;2025-11-26T22:09:55-08:00;Lost
Council;2025-12-09;11190;UB1. Vancouver's Social Housing Initiative - Amendment;2025-12-09T09:59:54-08:00;Carried
Council;2025-12-09;11191;UB1. Vancouver's Social Housing Initiative - Severed A;2025-12-09T10:19:27-08:00;Lost
Council;2025-12-09;11192;UB1. Vancouver's Social Housing Initiative - Severed B;2025-12-09T10:19:55-08:00;Lost
Council;2025-12-09;11193;UB1. Vancouver's Social Housing Initiative - Severed C;2025-12-09T10:20:23-08:00;Lost
Council;2025-12-09;11194;UB1. Vancouver's Social Housing Initiative - Severed D;2025-12-09T10:20:43-08:00;Lost
Council;2025-12-09;11195;UB1. Vancouver's Social Housing Initiative - Severed E;2025-12-09T10:21:27-08:00;Carried
Council;2025-12-09;11196;UB2.CD-1 Rezoning: 1150 Barclay Street - Amendment to the Amendment;2025-12-09T10:35:27-08:00;Carried Unanimously
Council;2025-12-09;11197;UB2.CD-1 Rezoning: 1150 Barclay Street - Amended Amendment;2025-12-09T10:36:05-08:00;Carried Unanimously
Council;2025-12-09;11198;UB2.CD-1 Rezoning: 1150 Barclay Street - Amended Motion;2025-12-09T10:36:51-08:00;Carried Unanimously
Council;2025-12-09;11199;Comm1. Changes to the 2026 Council Meetings Schedule;2025-12-09T10:39:58-08:00;Carried Unanimously
Council;2025-12-09;11200;R2. Amendments to Freedom of Information and Protection of Privacy By-law No. 11451;2025-12-09T11:28:04-08:00;Carried
Council;2025-12-09;11201;R3. Mayor's Budget Task Force Implementation Oversight Committee Recommendations Transmittal Report;2025-12-09T11:33:54-08:00;Carried Unanimously
Council;2025-12-09;11202;R4. 2026 Land Assessment Averaging: Notice to BC Assessment Authority;2025-12-09T11:36:41-08:00;Carried Unanimously
Council;2025-12-09;11203;R10. Reconsideration of Approval of Capital Grant to BC Housing for 3077 Maddams Street (Formerly 1405 East 15th Avenue and 3047-3071 Maddams Street) - Reconsideration;2025-12-09T11:48:42-08:00;Carried Unanimously
Council;2025-12-09;11204;R10. Reconsideration of Approval of Capital Grant to BC Housing for 3077 Maddams Street (Formerly 1405 East 15th Avenue and 3047-3071 Maddams Street);2025-12-09T11:52:59-08:00;Carried Unanimously
Council;2025-12-09;11208;R5. Annual Financial Authorities 2026 - Adopted on Consent;2025-12-09T12:14:22-08:00;Carried Unanimously
Council;2025-12-09;11209;R6. New Below Market Lease and Grant to Vera Housing Co-operative Association - Adopted on Consent;2025-12-09T12:14:43-08:00;Carried Unanimously
Council;2025-12-09;11210;R7. New Below Market Lease and Grant to Access Housing Co-operative Association - Adopted on Consent;2025-12-09T12:15:02-08:00;Carried Unanimously
Council;2025-12-09;11211;R8. Lease and Operating Agreement with SUCCESS for the Social Housing at 167 East 36th Avenue - Adopted on Consent;2025-12-09T12:15:30-08:00;Carried Unanimously
Council;2025-12-09;11212;R9. Below Market Lease Extension to Veterans Memorial Housing Society for 310 and 320 Alexander Street - Adopted on Consent;2025-12-09T12:15:54-08:00;Carried Unanimously
Council;2025-12-09;11213;RR1. Demolition Permitting Optimization - Adopted on Consent;2025-12-09T12:16:31-08:00;Carried Unanimously
Council;2025-12-09;11214;RR2. Miscellaneous Amendments - Zoning and Development By-law and Various Other By laws and Land Use Documents - Adopted on Consent;2025-12-09T12:17:07-08:00;Carried Unanimously
Council;2025-12-09;11215;RR3. Miscellaneous Amendments Concerning Various CD-1 By-laws - Adopted on Consent;2025-12-09T12:17:36-08:00;Carried Unanimously
Council;2025-12-09;11217;RR4. Rezoning: 5238-5262 Granville Street and 1495 West 37th Avenue - Adopted on Consent;2025-12-09T12:18:11-08:00;Carried Unanimously
Council;2025-12-09;11218;RR5. CD-1 Rezoning: 1167-1193 Granville Street - Adopted on Consent;2025-12-09T12:18:36-08:00;Carried Unanimously
Council;2025-12-09;11219;RR6. CD-1 Rezoning: 320-360 West 2nd Avenue  - Adopted on Consent;2025-12-09T12:19:04-08:00;Carried Unanimously
Council;2025-12-09;11220;RR7. CD-1 Rezoning: 900-990 West 12th Avenue  - Adopted on Consent;2025-12-09T12:19:38-08:00;Carried Unanimously
Council;2025-12-09;11221;RR8. CD-1 (409) Text Amendment: 1109-1139 West Pender Street and 1122-1152 West Hastings Street (Formerly 1128 West Hastings Street) - Adopted on Consent;2025-12-09T12:20:14-08:00;Carried Unanimously
Council;2025-12-09;11222;RR9. CD-1 (730) Amendment: 6428-6438 Cambie Street and 480-488 West 48th Avenue (Formerly 478-496 West 48th Avenue) - Adopted on Consent;2025-12-09T12:20:30-08:00;Carried Unanimously
Council;2025-12-09;11223;NEW BUSINESS 1 - Requests for Leaves of Absence;2025-12-09T12:21:11-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11224;R1. Report Back on Supporting Development Viability and Unlocking New Housing Supply;2025-12-10T12:31:50-08:00;Lost
City Finance & Services;2025-12-10;11225;R1. Report Back on Supporting Development Viability and Unlocking New Housing Supply;2025-12-10T12:35:14-08:00;Carried
City Finance & Services;2025-12-10;11226;R1. Report Back on Supporting Development Viability and Unlocking New Housing Supply;2025-12-10T12:39:55-08:00;Carried
City Finance & Services;2025-12-10;11227;R1. Report Back on Supporting Development Viability and Unlocking New Housing Supply;2025-12-10T12:41:51-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11228;R1. Report Back on Supporting Development Viability and Unlocking New Housing Supply;2025-12-10T13:05:24-08:00;Carried
City Finance & Services;2025-12-10;11229;R1. Report Back on Supporting Development Viability and Unlocking New Housing Supply;2025-12-10T13:05:54-08:00;Carried
City Finance & Services;2025-12-10;11230;R2. Proposed Amendment to Subdivision By-law No. 5208 - Reclassification of 3500 Ash Street;2025-12-10T13:50:04-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11232;R3. Granville Island - Non-Enforcement Resolution;2025-12-10T13:50:52-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11234;R4. 2025 Cultural Grants (Equity, Indigenous, Redress, Spaces, Public Art);2025-12-10T13:51:31-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11235;R8. Cultural Tourism and Community Sport Hosting Grants 2025 Year End;2025-12-10T13:51:52-08:00;Carried Unanimously
Special Council;2025-12-10;11239;1. Declaration of Dangerous Building at 341 East Hastings Street, Vancouver;2025-12-10T15:10:47-08:00;Carried Unanimously
Special Council;2025-12-10;11240;1. Declaration of Dangerous Building at 341 East Hastings Street, Vancouver;2025-12-10T15:11:28-08:00;Carried
Special Council;2025-12-10;11241;1. Declaration of Dangerous Building at 341 East Hastings Street, Vancouver;2025-12-10T15:11:47-08:00;Carried
City Finance & Services;2025-12-10;11242;R5. Vancouver Civic Theatres Rental Rates 2026-2027;2025-12-10T15:28:25-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11243;R6. Abandoned and Vacated Buildings By-law (AVBB);2025-12-10T15:46:07-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11244;R7. Report Back - Potential to Update the Vancouver Building By-law to Enable Single Egress Stairs;2025-12-10T16:20:08-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11245;R7. Report Back - Potential to Update the Vancouver Building By-law to Enable Single Egress Stairs;2025-12-10T16:21:40-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11246;Motion 1. Promoting Cultural Inclusion and Economic Vitality: Advancing the Main Street Filipino Cultural Centre and Hotel Project;2025-12-10T17:31:21-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11247;Motion 2. Cementing the City of Vancouver's Support for Pride Weekend;2025-12-10T18:47:38-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11248;Motion 3. Urgent Actions from the Vancouver Business Growth Task Force;2025-12-10T18:58:53-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11250;Motion 3. Urgent Actions from the Vancouver Business Growth Task Force;2025-12-10T19:00:17-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11251;Motion 4. Improve Public Safety for Everyone in Vancouver Through Safer Intersections;2025-12-10T20:05:56-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11252;Motion 5. Don't let Chinatown's Postal Service be Stamped Out;2025-12-10T20:35:28-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11253;Motion 6. Breaking up with the X: Equitable Access for Real-time Council Agenda and Speaker Updates;2025-12-10T20:50:23-08:00;Carried
City Finance & Services;2025-12-10;11254;Motion 6. Breaking up with the X: Equitable Access for Real-time Council Agenda and Speaker Updates;2025-12-10T20:57:34-08:00;Carried Unanimously
City Finance & Services;2025-12-10;11255;Motion 7. Supporting a Fare-Free Transit Route Pilot in Vancouver;2025-12-10T21:31:29-08:00;Lost
City Finance & Services;2025-12-10;11256;Motion 8. Assessing Motor Vehicle Speeding Risk at Vancouver's Most Dangerous Intersections;2025-12-10T21:43:47-08:00;Carried Unanimously
Public Hearing;2025-12-16;11265;1. Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown Eastside/Oppenheim;2025-12-16T19:59:31-08:00;Carried
Public Hearing;2025-12-16;11266;1. Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown Eastside/Oppenheim;2025-12-16T20:04:00-08:00;Carried Unanimously
Public Hearing;2025-12-16;11267;1. Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown Eastside/Oppenheim;2025-12-16T20:15:47-08:00;Carried
Public Hearing;2025-12-16;11268;1. Downtown Eastside Housing Implementation - Amendments to the FC-1 District in the Zoning and Development By-law and the Downtown Eastside/Oppenheim;2025-12-16T20:54:57-08:00;Carried
Public Hearing;2026-01-13;11269;1. Miscellaneous Amendments - Zoning and Development By-law and Various Other By-laws and Land Use Documents;2026-01-13T18:13:17-08:00;Carried Unanimously
Public Hearing;2026-01-13;11270;2. Rupert and Renfrew Station Area Plan Implementation - City-Initiated Amendments to the Zoning and Development By-law and Building By-law;2026-01-13T19:07:31-08:00;Carried Unanimously
Public Hearing;2026-01-13;11271;3. Rezoning: 4615 Arbutus Street;2026-01-13T19:25:21-08:00;Carried Unanimously
Public Hearing;2026-01-13;11272;4. CD-1 (730) Amendment: 6428-6438 Cambie Street and 480-488 West 48th Avenue (Formerly 478-496 West 48th Avenue);2026-01-13T19:38:00-08:00;Carried Unanimously
Public Hearing;2026-01-15;11273;1. Rezoning: 5238-5262 Granville Street and 1495 West 37th Avenue;2026-01-15T18:43:12-08:00;Carried Unanimously
Public Hearing;2026-01-15;11274;2. CD-1 (409) Text Amendment: 1109-1139 West Pender Street and 1122-1152 West Hastings Street (Formerly 1128 West Hastings Street);2026-01-15T18:52:00-08:00;Carried
Public Hearing;2026-01-15;11275;3. CD-1 Rezoning: 1167-1193 Granville Street;2026-01-15T19:49:36-08:00;Carried Unanimously
Public Hearing;2026-01-15;11276;4. CD-1 Rezoning: 900-990 West 12th Avenue;2026-01-15T20:48:11-08:00;Carried Unanimously
Council;2026-01-20;11278;R1. Washroom Strategic Framework and 2026 Actions;2026-01-20T11:17:41-08:00;Carried Unanimously
Council;2026-01-20;11279;R2. 2026 Cultural Grants (Projects, Advance, Multi-year, Spaces) and Social Policy Grant;2026-01-20T11:27:15-08:00;Carried Unanimously
Council;2026-01-20;11280;R5. 208 East Georgia Street - Single Room Accommodation (SRA) By-law Conversion Permit;2026-01-20T11:32:05-08:00;Carried Unanimously
Council;2026-01-20;11282;R4. 2026 Supplemental Street Cleaning Grant (DTES - Project Hope);2026-01-20T11:56:10-08:00;Carried Unanimously
Council;2026-01-20;11284;R6. Closure and Sale of a Portion of Road Adjacent to 2235 Charles Street;2026-01-20T11:57:16-08:00;Carried Unanimously
Council;2026-01-20;11286;RR1. CD-1 (776) Text Amendment: 118-150 Robson Street (Now 828 Cambie Street);2026-01-20T11:58:12-08:00;Carried Unanimously
Council;2026-01-20;11287;RR2. CD-1 (454) Text Amendment: 215 West 1st Avenue;2026-01-20T11:59:52-08:00;Carried Unanimously
Council;2026-01-20;11288;RR3. CD-1 Rezoning: 8080 Yukon Street;2026-01-20T12:00:19-08:00;Carried Unanimously
